HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,InundationTotal_0,InundationTotal_1,InundationTotal_2,InundationTotal_3,InundationTotal_4,InundationTotal_5,InundationTotal_6
030702030102,10068125.0,2621300.0,4361125.0,4239300.0,4980150.0,5909250.0,5518850.0,10068125.0,12689425.0,17050550.0,21289850.0,26270000.0,32179250.0,37698100.0
030702030201,180903850.0,21094675.0,6720150.0,5506950.0,7145925.0,7873300.0,9058025.0,180903850.0,201998525.0,208718675.0,214225625.0,221371550.0,229244850.0,238302875.0
030702030101,7484925.0,3541425.0,10138025.0,6851925.0,4718675.0,31503475.0,16882500.0,7484925.0,11026350.0,21164375.0,28016300.0,32734975.0,64238450.0,81120950.0
030701060502,377011375.0,57938175.0,17530450.0,14019425.0,15694375.0,19002500.0,11882250.0,377011375.0,434949550.0,452480000.0,466499425.0,482193800.0,501196300.0,513078550.0
030701060501,3420975.0,292175.0,213050.0,183975.0,380125.0,3021900.0,5839925.0,3420975.0,3713150.0,3926200.0,4110175.0,4490300.0,7512200.0,13352125.0
030602040501,114398825.0,27214675.0,8874775.0,3752650.0,3588575.0,3798750.0,18945050.0,114398825.0,141613500.0,150488275.0,154240925.0,157829500.0,161628250.0,180573300.0
030701060401,1797925.0,30100.0,18025.0,16475.0,15550.0,15575.0,58525.0,1797925.0,1828025.0,1846050.0,1862525.0,1878075.0,1893650.0,1952175.0
030602040502,81204025.0,8738000.0,6290625.0,3455025.0,5184925.0,3998625.0,4260725.0,81204025.0,89942025.0,96232650.0,99687675.0,104872600.0,108871225.0,113131950.0
030602040401,112987400.0,11003550.0,6475975.0,3688450.0,6458875.0,4679875.0,3947550.0,112987400.0,123990950.0,130466925.0,134155375.0,140614250.0,145294125.0,149241675.0
030701060405,11575.0,275.0,325.0,175.0,150.0,150.0,175.0,11575.0,11850.0,12175.0,12350.0,12500.0,12650.0,12825.0
030602040301,92077000.0,16669075.0,12134175.0,11495300.0,10301075.0,11230325.0,12129550.0,92077000.0,108746075.0,120880250.0,132375550.0,142676625.0,153906950.0,166036500.0
030602040201,172368550.0,24431250.0,10252725.0,7155100.0,6453850.0,6581850.0,7657425.0,172368550.0,196799800.0,207052525.0,214207625.0,220661475.0,227243325.0,234900750.0
030602030603,0.0,0.0,0.0,0.0,276425.0,9075.0,9650.0,0.0,0.0,0.0,0.0,276425.0,285500.0,295150.0
030602040602,182616575.0,3283875.0,3603775.0,3676100.0,4114875.0,5246800.0,3463500.0,182616575.0,185900450.0,189504225.0,193180325.0,197295200.0,202542000.0,206005500.0
030602030606,7349700.0,1434750.0,2243350.0,3308025.0,4787700.0,5240875.0,4830000.0,7349700.0,8784450.0,11027800.0,14335825.0,19123525.0,24364400.0,29194400.0
030602030605,0.0,0.0,0.0,0.0,200.0,50.0,25.0,0.0,0.0,0.0,0.0,200.0,250.0,275.0
030602040601,202291425.0,7791625.0,4734725.0,3950400.0,3636475.0,3359750.0,3144550.0,202291425.0,210083050.0,214817775.0,218768175.0,222404650.0,225764400.0,228908950.0
