UNIQUE,NOT_A_PRIORITY_FOR_SHARED_ACTION,CORRIDORS,MEDIUM_PRIORITY,HIGH_PRIORITY,HIGHEST_PRIORITY
431,0.0,0.0,4760000.0,18320000.0,0.0
432,0.0,0.0,21240000.0,1800000.0,0.0
433,0.0,0.0,23080000.0,0.0,0.0
434,0.0,0.0,23080000.0,0.0,0.0
435,0.0,0.0,23000000.0,0.0,0.0
436,0.0,16880000.0,6160000.0,0.0,0.0
437,0.0,23040000.0,0.0,0.0,0.0
438,0.0,23080000.0,0.0,0.0,0.0
439,0.0,0.0,23040000.0,0.0,0.0
440,0.0,0.0,23000000.0,0.0,0.0
441,0.0,0.0,23080000.0,0.0,0.0
442,0.0,0.0,23000000.0,0.0,0.0
443,0.0,0.0,23040000.0,0.0,0.0
444,7120000.0,0.0,16040000.0,0.0,0.0
445,23000000.0,0.0,0.0,0.0,0.0
446,23080000.0,0.0,0.0,0.0,0.0
447,23000000.0,0.0,0.0,0.0,0.0
448,22600000.0,0.0,0.0,160000.0,240000.0
449,0.0,0.0,23040000.0,0.0,0.0
450,0.0,0.0,20720000.0,2360000.0,0.0
451,0.0,0.0,23080000.0,0.0,0.0
452,0.0,0.0,23040000.0,0.0,0.0
453,7000000.0,0.0,16080000.0,0.0,0.0
454,21400000.0,0.0,1600000.0,0.0,0.0
455,23080000.0,0.0,0.0,0.0,0.0
456,23040000.0,0.0,0.0,0.0,0.0
457,23040000.0,0.0,0.0,0.0,0.0
458,0.0,0.0,2880000.0,20160000.0,0.0
459,0.0,0.0,11480000.0,11560000.0,0.0
460,0.0,0.0,23080000.0,0.0,0.0
461,3720000.0,0.0,19320000.0,0.0,0.0
462,19120000.0,0.0,3960000.0,0.0,0.0
463,23000000.0,0.0,0.0,0.0,0.0
464,23040000.0,0.0,0.0,0.0,0.0
465,23000000.0,0.0,0.0,160000.0,0.0
466,22960000.0,0.0,0.0,0.0,0.0
467,0.0,0.0,10560000.0,12480000.0,0.0
468,0.0,0.0,19160000.0,3920000.0,0.0
469,0.0,0.0,23000000.0,0.0,0.0
470,15280000.0,0.0,7760000.0,0.0,0.0
471,23080000.0,0.0,0.0,0.0,0.0
472,23000000.0,0.0,0.0,0.0,0.0
473,23080000.0,0.0,0.0,0.0,0.0
474,22920000.0,0.0,0.0,80000.0,0.0
475,0.0,0.0,22040000.0,1000000.0,0.0
476,0.0,0.0,23040000.0,0.0,0.0
477,16360000.0,0.0,6680000.0,0.0,0.0
478,21800000.0,0.0,1360000.0,0.0,0.0
479,23000000.0,0.0,0.0,0.0,0.0
480,23080000.0,0.0,0.0,0.0,0.0
481,23040000.0,0.0,0.0,0.0,0.0
482,760000.0,0.0,22280000.0,0.0,0.0
483,20840000.0,0.0,2200000.0,0.0,0.0
484,23040000.0,0.0,0.0,0.0,0.0
485,23040000.0,0.0,0.0,0.0,0.0
486,23080000.0,0.0,0.0,0.0,0.0
487,4760000.0,0.0,18280000.0,0.0,0.0
488,21320000.0,0.0,1760000.0,0.0,0.0
489,22960000.0,0.0,0.0,0.0,0.0
490,23040000.0,0.0,0.0,0.0,0.0
491,23120000.0,0.0,0.0,0.0,0.0
492,0.0,0.0,23000000.0,0.0,0.0
493,8000000.0,7240000.0,7800000.0,0.0,0.0
494,17800000.0,5320000.0,0.0,0.0,0.0
495,21480000.0,1560000.0,0.0,0.0,0.0
496,23080000.0,0.0,0.0,0.0,0.0
497,0.0,6400000.0,16600000.0,0.0,0.0
498,0.0,22600000.0,480000.0,0.0,0.0
499,0.0,23040000.0,0.0,0.0,0.0
500,0.0,23080000.0,0.0,0.0,0.0
501,0.0,21200000.0,1800000.0,0.0,0.0
502,0.0,23080000.0,0.0,0.0,0.0
503,0.0,23000000.0,0.0,0.0,0.0
504,0.0,23040000.0,0.0,0.0,0.0
505,0.0,23120000.0,0.0,0.0,0.0
506,0.0,23080000.0,0.0,0.0,0.0
507,0.0,22640000.0,0.0,360000.0,0.0
508,0.0,22680000.0,400000.0,0.0,0.0
509,0.0,23040000.0,0.0,0.0,0.0
510,0.0,23040000.0,0.0,0.0,0.0
511,0.0,23080000.0,0.0,0.0,0.0
512,0.0,22960000.0,0.0,0.0,0.0
513,0.0,23000000.0,0.0,0.0,0.0
514,0.0,23080000.0,0.0,0.0,0.0
515,0.0,0.0,22920000.0,0.0,0.0
516,320000.0,0.0,22760000.0,0.0,0.0
517,4000000.0,0.0,18720000.0,320000.0,0.0
518,14440000.0,0.0,7800000.0,760000.0,0.0
519,22080000.0,0.0,1000000.0,0.0,0.0
520,22960000.0,0.0,0.0,0.0,0.0
521,23080000.0,0.0,0.0,0.0,0.0
522,23000000.0,0.0,0.0,0.0,0.0
523,23000000.0,0.0,0.0,0.0,0.0
524,23000000.0,0.0,0.0,0.0,0.0
525,23080000.0,0.0,0.0,0.0,0.0
526,22960000.0,0.0,0.0,0.0,0.0
527,10480000.0,0.0,0.0,0.0,0.0
528,0.0,23000000.0,0.0,0.0,0.0
529,2400000.0,0.0,20640000.0,0.0,0.0
530,15720000.0,0.0,7320000.0,0.0,0.0
531,11560000.0,0.0,11520000.0,0.0,0.0
532,560000.0,0.0,22440000.0,0.0,0.0
533,2600000.0,0.0,20320000.0,0.0,0.0
534,9720000.0,0.0,13440000.0,0.0,0.0
535,17040000.0,0.0,5920000.0,0.0,0.0
536,23040000.0,0.0,0.0,0.0,0.0
537,23040000.0,0.0,0.0,0.0,0.0
538,22920000.0,0.0,0.0,0.0,0.0
539,23160000.0,0.0,0.0,0.0,0.0
540,22960000.0,0.0,0.0,0.0,0.0
541,23040000.0,0.0,0.0,0.0,0.0
542,23000000.0,0.0,0.0,0.0,0.0
543,23000000.0,0.0,0.0,0.0,0.0
544,23040000.0,0.0,0.0,0.0,0.0
545,23040000.0,0.0,0.0,0.0,0.0
546,11200000.0,0.0,0.0,0.0,0.0
547,0.0,23040000.0,0.0,0.0,0.0
548,3840000.0,0.0,19200000.0,0.0,0.0
549,15600000.0,0.0,5040000.0,2440000.0,0.0
550,21520000.0,0.0,1520000.0,0.0,0.0
551,3720000.0,0.0,19280000.0,0.0,0.0
552,5960000.0,0.0,17160000.0,0.0,0.0
553,9640000.0,0.0,13280000.0,0.0,0.0
