CORRIDORS,HIGHEST_PRIORITY,HIGH_PRIORITY,HUC12,INLAND_WATERBODIES,MEDIUM_PRIORITY,NOT_A_PRIORITY_FOR_SHARED_ACTION
0.0,65920000.0,25520000.0,031200030901,0.0,8920000.0,120000.0
0.0,520000.0,18000000.0,031102060606,0.0,15720000.0,115440000.0
2520000.0,1080000.0,45040000.0,031102060208,0.0,19480000.0,23360000.0
0.0,3440000.0,10640000.0,031200010703,0.0,30080000.0,7640000.0
0.0,80000.0,4160000.0,031102050203,0.0,33320000.0,48320000.0
14240000.0,480000.0,13280000.0,030801030902,0.0,54840000.0,34400000.0
5120000.0,73840000.0,14680000.0,031102050405,0.0,11600000.0,65080000.0
0.0,2480000.0,3320000.0,031101020404,0.0,30960000.0,62120000.0
0.0,63040000.0,27040000.0,031200031002,0.0,22680000.0,0.0
0.0,0.0,0.0,031102060605,0.0,6720000.0,93000000.0
0.0,25240000.0,18360000.0,031200030705,0.0,19800000.0,80000.0
40000.0,23360000.0,27840000.0,031300110601,0.0,5320000.0,0.0
15640000.0,29120000.0,16760000.0,030801030804,0.0,18920000.0,26760000.0
1880000.0,22640000.0,13440000.0,031300120602,40000.0,35240000.0,42120000.0
0.0,3040000.0,13760000.0,031200011003,0.0,21840000.0,40320000.0
0.0,15080000.0,35000000.0,031300130101,0.0,10960000.0,40000.0
0.0,120000.0,0.0,031102060404,0.0,20600000.0,91680000.0
3160000.0,6440000.0,47880000.0,030801030903,1520000.0,24680000.0,3520000.0
0.0,80000.0,520000.0,031101020303,0.0,1880000.0,125720000.0
2280000.0,200000.0,11400000.0,031102050305,0.0,92560000.0,57600000.0
0.0,39040000.0,51000000.0,031300110602,0.0,33080000.0,240000.0
0.0,46520000.0,9320000.0,031200010802,0.0,11000000.0,0.0
0.0,0.0,0.0,031101020202,0.0,3720000.0,127720000.0
0.0,0.0,0.0,031102060604,0.0,240000.0,55280000.0
400000.0,47840000.0,33120000.0,031300120603,2240000.0,3120000.0,360000.0
280000.0,0.0,4080000.0,031102060204,0.0,64600000.0,40520000.0
0.0,4280000.0,2600000.0,031200011001,0.0,23880000.0,81800000.0
0.0,0.0,0.0,031102060403,0.0,42480000.0,45360000.0
0.0,5200000.0,21680000.0,031200010702,0.0,13800000.0,520000.0
0.0,3240000.0,12400000.0,031200011002,0.0,25520000.0,62280000.0
0.0,0.0,0.0,031102050403,0.0,0.0,91000000.0
11760000.0,1880000.0,44880000.0,031102060206,0.0,17280000.0,10840000.0
360000.0,2080000.0,6000000.0,031200011101,0.0,22640000.0,32520000.0
40000.0,10560000.0,23960000.0,031300120601,0.0,51640000.0,56800000.0
1720000.0,0.0,0.0,031101020401,0.0,0.0,70920000.0
7560000.0,1320000.0,4800000.0,031101030505,0.0,39960000.0,66200000.0
12280000.0,1920000.0,3120000.0,031101020104,0.0,68280000.0,80840000.0
160000.0,3760000.0,1480000.0,031101020302,0.0,9280000.0,108280000.0
16160000.0,42320000.0,12480000.0,031102060207,2040000.0,6400000.0,13200000.0
80000.0,22440000.0,58800000.0,031300110502,0.0,11320000.0,400000.0
0.0,12040000.0,19600000.0,031200030704,0.0,21640000.0,560000.0
7200000.0,0.0,34600000.0,031102060202,0.0,15360000.0,4320000.0
2200000.0,0.0,4040000.0,031102050202,0.0,93240000.0,61480000.0
40000.0,1840000.0,1240000.0,031101030504,0.0,89880000.0,6800000.0
0.0,0.0,0.0,031102060603,0.0,8120000.0,113960000.0
3000000.0,0.0,40000.0,030801031102,0.0,7720000.0,47360000.0
0.0,66160000.0,14480000.0,031200031001,0.0,15360000.0,0.0
1560000.0,28360000.0,8280000.0,031200010704,0.0,34680000.0,16320000.0
0.0,52040000.0,20280000.0,031200010801,0.0,14840000.0,0.0
1040000.0,4320000.0,2560000.0,031200010605,0.0,17680000.0,36760000.0
0.0,2960000.0,30120000.0,031200030702,0.0,34000000.0,680000.0
80000.0,71800000.0,17280000.0,031300110503,0.0,7600000.0,160000.0
9200000.0,27760000.0,22560000.0,030801030904,0.0,31120000.0,40120000.0
0.0,91680000.0,26400000.0,031200030805,0.0,14160000.0,240000.0
0.0,2200000.0,12680000.0,031200030701,0.0,51680000.0,1480000.0
0.0,17360000.0,71040000.0,030801031001,8280000.0,21640000.0,2400000.0
0.0,1080000.0,1160000.0,031102050402,0.0,9080000.0,87040000.0
0.0,0.0,0.0,031102060602,0.0,0.0,74880000.0
0.0,0.0,0.0,031102050404,0.0,680000.0,110200000.0
480000.0,0.0,720000.0,031102050201,0.0,49080000.0,36120000.0
40000.0,11400000.0,49680000.0,031200011103,0.0,34640000.0,600000.0
2160000.0,15520000.0,10920000.0,030801031204,0.0,17000000.0,76760000.0
0.0,0.0,0.0,031102050302,0.0,0.0,42960000.0
1520000.0,7040000.0,3720000.0,031200010504,0.0,4520000.0,49040000.0
720000.0,0.0,0.0,031101020201,0.0,1520000.0,77920000.0
0.0,0.0,0.0,031102060601,3520000.0,1480000.0,44960000.0
40000.0,40000.0,0.0,031102060402,2760000.0,69480000.0,50600000.0
3160000.0,0.0,0.0,031101020301,0.0,21480000.0,86560000.0
1040000.0,23560000.0,35720000.0,031300120504,0.0,9960000.0,10800000.0
0.0,11520000.0,25840000.0,031200030703,0.0,19160000.0,400000.0
42280000.0,0.0,0.0,031101020103,0.0,18200000.0,121000000.0
40000.0,0.0,17920000.0,031300110501,0.0,44440000.0,3560000.0
0.0,40000.0,4120000.0,030801031103,0.0,9640000.0,64440000.0
0.0,2800000.0,11400000.0,031102050401,0.0,10800000.0,60480000.0
2120000.0,7840000.0,2200000.0,031102050304,0.0,1240000.0,89000000.0
3320000.0,0.0,6320000.0,031102060205,0.0,37720000.0,14280000.0
80000.0,7760000.0,27760000.0,031300120505,0.0,42440000.0,69200000.0
0.0,1480000.0,11720000.0,031101030503,0.0,32200000.0,57960000.0
0.0,41320000.0,35760000.0,031200030804,6880000.0,11080000.0,360000.0
27360000.0,120000.0,3280000.0,031102050104,0.0,14960000.0,41560000.0
0.0,0.0,3880000.0,031300120503,0.0,14520000.0,77560000.0
0.0,39520000.0,32400000.0,031200010701,0.0,20520000.0,120000.0
