Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
73,576,23039999.99999999,97,99,2,97.52083333333333,0.6204696921598096,56172.0,3,97,99,97
74,577,23079999.99999999,96,99,3,97.85615251299826,0.717521077509432,56463.0,4,98,96,98
75,577,23079999.99999999,93,98,5,96.54072790294627,1.5052150213346598,55704.0,5,98,93,97
76,576,23039999.99999999,91,96,5,92.64583333333333,0.7880950133074057,53364.0,5,92,91,92
77,576,23039999.99999999,84,88,4,85.46006944444444,0.8610813586927898,49225.0,5,86,88,86
78,578,23119999.99999999,82,86,4,83.15397923875433,1.215026910826428,48063.0,5,82,86,83
79,577,23079999.99999999,82,84,2,82.63951473136915,0.5507503375931725,47683.0,3,83,84,83
80,576,23039999.99999999,82,87,5,83.22395833333333,1.515034249131572,47937.0,3,83,87,83
81,577,23079999.99999999,83,88,5,85.98093587521664,1.3571751007585986,49611.0,6,86,83,86
82,577,23079999.99999999,82,89,7,86.4627383015598,1.7893624018061662,49889.0,8,88,84,87
83,577,23079999.99999999,81,89,8,84.8838821490468,3.0023734412525145,48978.0,6,83,82,83
84,577,23079999.99999999,79,88,9,84.47833622183708,3.0642963243152854,48744.0,7,84,85,84
85,576,23039999.99999999,80,93,13,87.53472222222223,2.672943639625869,50420.0,10,88,93,88
86,576,23039999.99999999,88,96,8,93.05729166666667,2.3255485370690265,53601.0,6,94,88,94
87,576,23039999.99999999,82,96,14,89.78125,4.606840758137113,51714.0,8,94,92,93
88,1,39999.99999999998,99,99,0,99.0,0.0,99.0,1,99,99,99
89,119,4759999.999999997,98,100,2,98.91596638655462,0.7947287675656604,11771.0,3,98,100,99
90,559,22359999.99999999,96,100,4,97.6314847942755,1.214172323946619,54576.0,5,98,100,98
91,576,23039999.99999999,95,97,2,95.59027777777777,0.622642157401471,55060.0,3,95,97,96
92,577,23079999.99999999,95,97,2,96.76083188908146,0.4978198582355359,55831.0,3,97,95,97
93,577,23079999.99999999,97,97,0,97.0,0.0,55969.0,1,97,97,97
94,575,22999999.99999999,95,98,3,96.96173913043478,0.7611870145226479,55753.0,4,97,96,97
95,575,22999999.99999999,83,87,4,84.87478260869565,1.1919909160916418,48803.0,5,85,87,85
96,578,23119999.99999999,82,84,2,82.67301038062284,0.5505564375202984,47785.0,3,83,84,83
97,576,23039999.99999999,82,85,3,82.63888888888889,1.0007713074807465,47600.0,4,82,85,82
98,575,22999999.99999999,82,85,3,83.05565217391305,1.1035272541970855,47757.0,4,82,84,83
99,576,23039999.99999999,80,86,6,83.13020833333333,1.6589584118213385,47883.0,7,84,85,84
100,575,22999999.99999999,80,86,6,82.55304347826088,1.9265342497604794,47468.0,5,82,85,82
101,578,23119999.99999999,81,84,3,82.12975778546713,0.8143056631004675,47471.0,4,82,84,82
102,575,22999999.99999999,79,87,8,83.04869565217392,1.8949069137347934,47753.0,7,84,81,83
103,576,23039999.99999999,82,93,11,87.23958333333333,3.1149665316108224,50250.0,8,87,91,87
