AREA,COUNT,MAJORITY,MAX,MEAN,MEDIAN,MIN,MINORITY,RANGE,STD,SUM,Unique,VARIETY
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,197,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,198,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,199,1
23119999.99999999,578,0,2,0.006920415224913495,0,0,2,2,0.11744334081991101,4.0,200,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,201,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,202,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,203,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,204,1
11839999.999999994,296,0,0,0.0,0,0,0,0,0.0,0.0,205,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,206,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,207,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,208,1
23079999.99999999,577,0,2,0.03466204506065858,0,0,2,2,0.26100312786158336,20.0,209,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,210,1
23039999.99999999,576,0,2,0.013888888888888888,0,0,2,2,0.1660869547652972,8.0,211,2
23039999.99999999,576,0,2,0.003472222222222222,0,0,2,2,0.08326096394640138,2.0,212,2
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,213,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,214,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,215,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,216,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,217,1
23079999.99999999,577,0,2,0.03466204506065858,0,0,2,2,0.26100312786158336,20.0,218,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,219,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,220,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,221,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,222,1
