HUC12,VALUE_0,VALUE_1,VALUE_25,VALUE_50,VALUE_100,VALUE_200,VALUE_300,VALUE_400,VALUE_500,VALUE_600,VALUE_700,VALUE_800,VALUE_900,VALUE_950,VALUE_975,VALUE_1000,UrbArea,PixelArea60m,PercentUrb
031101020402,51120000.0,2833200.0,561600.0,979200.0,1054800.0,1292400.0,1011600.0,795600.0,565200.0,572400.0,572400.0,723600.0,882000.0,799200.0,558000.0,7484400.0,15068970.0,71805600.0,0.2098578662388449
031300130103,73335600.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,73425600.0,0.0012257305353990978
031200011102,186919200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186919200.0,0.0
031102050407,51386400.0,2412000.0,525600.0,831600.0,853200.0,1029600.0,745200.0,568800.0,576000.0,453600.0,576000.0,640800.0,889200.0,734400.0,518400.0,7635600.0,14324040.0,70376400.0,0.2035347076576807
031200030902,116150400.0,370800.0,32400.0,61200.0,64800.0,100800.0,50400.0,36000.0,39600.0,36000.0,25200.0,32400.0,36000.0,46800.0,25200.0,176400.0,793620.0,117284400.0,0.0067666288099696124
031102060405,92296800.0,2977200.0,892800.0,1184400.0,1278000.0,2088000.0,925200.0,795600.0,709200.0,730800.0,770400.0,738000.0,1047600.0,968400.0,752400.0,10440000.0,19159110.0,118594800.0,0.16155101235467323
031101020405,138438000.0,514800.0,86400.0,158400.0,165600.0,165600.0,126000.0,115200.0,104400.0,100800.0,68400.0,93600.0,129600.0,122400.0,64800.0,802800.0,1992780.0,141256800.0,0.014107497833732606
031101020601,128030400.0,100800.0,25200.0,32400.0,68400.0,64800.0,25200.0,25200.0,7200.0,10800.0,3600.0,7200.0,0.0,14400.0,0.0,46800.0,219330.0,128462400.0,0.0017073478309606546
031101020203,73087200.0,9345600.0,1393200.0,1908000.0,1821600.0,2275200.0,1591200.0,1371600.0,1152000.0,1234800.0,1065600.0,1472400.0,1879200.0,1663200.0,1051200.0,16110000.0,34785990.0,118422000.0,0.29374601003191975
031200010803,58161600.0,1083600.0,82800.0,144000.0,237600.0,295200.0,194400.0,108000.0,108000.0,64800.0,61200.0,54000.0,118800.0,68400.0,79200.0,1980000.0,3685230.0,62841600.0,0.05864315994500458
031102060103,99961200.0,3333600.0,730800.0,1342800.0,1281600.0,1404000.0,950400.0,723600.0,550800.0,453600.0,496800.0,518400.0,831600.0,619200.0,406800.0,6678000.0,14123880.0,120283200.0,0.1174218843529271
030801030901,94064400.0,2473200.0,421200.0,770400.0,709200.0,1022400.0,579600.0,504000.0,396000.0,482400.0,424800.0,496800.0,601200.0,655200.0,406800.0,8107200.0,14022720.0,112114800.0,0.12507465562084577
031102060102,47628000.0,14101200.0,565200.0,1036800.0,1062000.0,1594800.0,1202400.0,1040400.0,885600.0,745200.0,637200.0,820800.0,1062000.0,918000.0,612000.0,13255200.0,33041610.0,87166800.0,0.37906186759178956
031200030901,98773200.0,424800.0,72000.0,151200.0,126000.0,194400.0,144000.0,118800.0,32400.0,79200.0,46800.0,28800.0,46800.0,36000.0,46800.0,298800.0,1116630.0,100620000.0,0.011097495527728086
031102060606,98539200.0,7776000.0,1404000.0,2440800.0,2340000.0,2707200.0,1641600.0,1681200.0,1645200.0,1756800.0,1587600.0,1713600.0,2296800.0,1627200.0,1335600.0,19188000.0,38335590.0,149680800.0,0.25611561402664873
031102060208,76359600.0,1580400.0,576000.0,997200.0,990000.0,997200.0,633600.0,543600.0,349200.0,446400.0,471600.0,446400.0,676800.0,630000.0,399600.0,5400000.0,10477530.0,91497600.0,0.11451152817123073
