PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,Shape_Length,Shape_Area,bounds
NH17-02, 6378,NH17-02 6378,131,19207.545250986634,23057705.465055823,"-80.646,31.627,-80.595,31.671"
NH17-02, 6379,NH17-02 6379,132,19207.457752778653,23057495.439359806,"-80.595,31.627,-80.544,31.671"
NH17-02, 6380,NH17-02 6380,133,19207.35939780128,23057259.355145633,"-80.544,31.627,-80.494,31.670"
NH17-02, 6381,NH17-02 6381,134,19207.25013466467,23056997.086297557,"-80.494,31.627,-80.443,31.670"
NH17-02, 6382,NH17-02 6382,135,19207.130097725567,23056708.95944646,"-80.443,31.627,-80.392,31.670"
NH17-02, 6383,NH17-02 6383,136,19206.998955172476,23056394.17753192,"-80.393,31.626,-80.342,31.670"
NH17-02, 6384,NH17-02 6384,137,19206.857038810347,23056053.538601637,"-80.342,31.626,-80.291,31.670"
NH17-02, 6385,NH17-02 6385,138,19206.704016882293,23055686.243516564,"-80.291,31.626,-80.240,31.669"
NH17-02, 6386,NH17-02 6386,139,19206.540304056736,23055293.292845313,"-80.241,31.625,-80.190,31.669"
NH17-02, 6387,NH17-02 6387,140,19206.365600274905,23054873.965620384,"-80.190,31.625,-80.139,31.669"
NH17-02, 6388,NH17-02 6388,141,19206.179613140106,23054427.55748815,"-80.140,31.625,-80.089,31.668"
NH17-02, 6389,NH17-02 6389,142,19205.98311295826,23053955.9228398,"-80.089,31.624,-80.038,31.668"
NH17-02, 6390,NH17-02 6390,143,19205.77572433929,23053458.159283556,"-80.038,31.624,-79.987,31.668"
NH17-02, 6419,NH17-02 6419,144,13936.152370040718,8161512.7781124655,"-81.079,31.585,-81.051,31.628"
NH17-02, 6420,NH17-02 6420,145,19207.845305124945,23058477.779943746,"-81.051,31.585,-81.000,31.628"
NH17-02, 6421,NH17-02 6421,146,19207.84518139263,23058439.58237839,"-81.000,31.585,-80.949,31.628"
NH17-02, 6422,NH17-02 6422,147,19207.834317552468,23058413.50506299,"-80.949,31.585,-80.899,31.628"
NH17-02, 6423,NH17-02 6423,148,19207.812515370155,23058361.170593675,"-80.899,31.585,-80.848,31.628"
NH17-02, 6426,NH17-02 6426,149,19207.681332794025,23058046.278392695,"-80.747,31.584,-80.696,31.628"
NH17-02, 6427,NH17-02 6427,150,19207.61574576564,23057888.845340505,"-80.696,31.584,-80.646,31.628"
NH17-02, 6428,NH17-02 6428,151,19207.53925194254,23057705.233738147,"-80.646,31.584,-80.595,31.627"
NH17-02, 6429,NH17-02 6429,152,19207.451788270017,23057495.28631031,"-80.595,31.584,-80.544,31.627"
NH17-02, 6430,NH17-02 6430,153,19207.353698300594,23057259.83593108,"-80.545,31.584,-80.494,31.627"
NH17-02, 6431,NH17-02 6431,154,19207.24435800829,23056997.38247807,"-80.494,31.583,-80.443,31.627"
NH17-02, 6432,NH17-02 6432,155,19207.12416238471,23056708.876333848,"-80.444,31.583,-80.393,31.627"
NH17-02, 6433,NH17-02 6433,156,19206.99294550578,23056393.914144114,"-80.393,31.583,-80.342,31.627"
NH17-02, 6434,NH17-02 6434,157,19206.851070771743,23056053.374755077,"-80.342,31.583,-80.291,31.626"
NH17-02, 6435,NH17-02 6435,158,19206.69806028015,23055686.10631845,"-80.292,31.582,-80.241,31.626"
NH17-02, 6436,NH17-02 6436,159,19206.534309003622,23055293.061627284,"-80.241,31.582,-80.190,31.626"
