HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
030300030104,27640000.0,2840000.0,3520000.0,6520000.0,3640000.0,760000.0
030401020202,0.0,0.0,0.0,0.0,4120000.0,0.0
030300020306,160000.0,0.0,0.0,0.0,8880000.0,0.0
030401011307,48320000.0,1120000.0,3120000.0,12760000.0,48080000.0,280000.0
030401010204,0.0,0.0,0.0,360000.0,960000.0,0.0
030401010407,480000.0,0.0,0.0,0.0,6080000.0,0.0
030401011203,10600000.0,1400000.0,2480000.0,8840000.0,72280000.0,400000.0
030300020307,520000.0,0.0,0.0,680000.0,6400000.0,0.0
030300020507,440000.0,760000.0,2000000.0,7040000.0,6120000.0,40000.0
030401011303,26320000.0,880000.0,1720000.0,5760000.0,12560000.0,320000.0
030300020604,17360000.0,6440000.0,2960000.0,1440000.0,120000.0,6880000.0
030202010803,70560000.0,5000000.0,4520000.0,6280000.0,1680000.0,14520000.0
030401011305,58360000.0,1000000.0,1480000.0,3480000.0,6560000.0,1600000.0
030300020308,1600000.0,1440000.0,2880000.0,8240000.0,16160000.0,320000.0
030300020506,440000.0,0.0,0.0,0.0,8720000.0,0.0
030300020606,3400000.0,10080000.0,13840000.0,22760000.0,21640000.0,4600000.0
030300020603,34480000.0,6240000.0,4480000.0,6200000.0,6160000.0,3200000.0
030401010402,1280000.0,2240000.0,3760000.0,8520000.0,7600000.0,1760000.0
030401011101,1720000.0,1760000.0,1520000.0,3160000.0,22200000.0,1800000.0
030202011503,11280000.0,7000000.0,7920000.0,17520000.0,46800000.0,4480000.0
030401011306,51840000.0,840000.0,1160000.0,3040000.0,8640000.0,480000.0
030300030101,40280000.0,3600000.0,4560000.0,8720000.0,19080000.0,2200000.0
030202010801,85800000.0,6160000.0,8360000.0,10560000.0,12800000.0,7520000.0
030401010205,240000.0,2040000.0,3120000.0,8160000.0,14120000.0,3880000.0
030401030202,19200000.0,5360000.0,4640000.0,5760000.0,72560000.0,4440000.0
030202010802,21120000.0,2920000.0,2240000.0,2360000.0,400000.0,11640000.0
030300020502,2760000.0,40000.0,480000.0,1120000.0,32200000.0,0.0
030401010305,7080000.0,640000.0,2480000.0,13800000.0,62400000.0,40000.0
030300020302,21480000.0,1280000.0,3360000.0,13840000.0,39480000.0,320000.0
030300030102,53920000.0,3400000.0,2840000.0,5200000.0,6680000.0,4280000.0
030401010602,120000.0,640000.0,1360000.0,1520000.0,0.0,40000.0
030300020304,1840000.0,7440000.0,8880000.0,11280000.0,10920000.0,2400000.0
030300020605,58240000.0,10080000.0,10160000.0,12920000.0,12440000.0,4800000.0
030202011502,8400000.0,1760000.0,4280000.0,14680000.0,28600000.0,840000.0
030401011202,280000.0,0.0,0.0,0.0,14480000.0,0.0
030202010703,6840000.0,3440000.0,7160000.0,12160000.0,15280000.0,720000.0
030401010605,2360000.0,80000.0,400000.0,2120000.0,30720000.0,0.0
030401011102,6480000.0,0.0,80000.0,2280000.0,51640000.0,0.0
030300020602,35680000.0,640000.0,520000.0,760000.0,320000.0,800000.0
030300020503,280000.0,2160000.0,3200000.0,8760000.0,7360000.0,960000.0
030401011304,62880000.0,4840000.0,5120000.0,11760000.0,13600000.0,7680000.0
030202010704,45960000.0,4760000.0,4920000.0,6280000.0,5880000.0,4320000.0
030401011201,240000.0,0.0,0.0,0.0,7800000.0,0.0
030300020310,21400000.0,240000.0,720000.0,6360000.0,40520000.0,40000.0
030300020601,33720000.0,21200000.0,21880000.0,19760000.0,2560000.0,22400000.0
030202030103,1880000.0,0.0,0.0,80000.0,28840000.0,0.0
030300020104,84000000.0,1040000.0,2240000.0,7200000.0,16920000.0,2520000.0
030401010606,10680000.0,0.0,0.0,0.0,29000000.0,0.0
030300020305,15360000.0,560000.0,1200000.0,4240000.0,13640000.0,280000.0
030202030101,10120000.0,800000.0,2680000.0,11360000.0,48160000.0,280000.0
030202010604,12360000.0,5720000.0,4120000.0,6320000.0,3120000.0,12840000.0
030401010607,1800000.0,0.0,0.0,0.0,27360000.0,0.0
030300020309,33360000.0,0.0,0.0,0.0,7480000.0,0.0
030202010502,5080000.0,4240000.0,4880000.0,8760000.0,23560000.0,5920000.0
030300020303,12760000.0,2360000.0,5800000.0,13920000.0,43200000.0,680000.0
030300020105,81920000.0,2880000.0,4000000.0,6800000.0,14360000.0,2720000.0
030300020501,10240000.0,560000.0,2000000.0,8000000.0,52840000.0,40000.0
030401010601,0.0,160000.0,440000.0,360000.0,160000.0,0.0
030401011301,57840000.0,1480000.0,2280000.0,8000000.0,12240000.0,960000.0
030401011007,4240000.0,2200000.0,5640000.0,13560000.0,65320000.0,360000.0
030401010303,80000.0,1000000.0,840000.0,1240000.0,680000.0,400000.0
030401010603,280000.0,440000.0,960000.0,3840000.0,15440000.0,200000.0
030401010304,0.0,0.0,0.0,0.0,3000000.0,0.0
030201010403,360000.0,0.0,0.0,0.0,2000000.0,0.0
030300020102,58240000.0,6680000.0,5840000.0,5720000.0,3280000.0,6720000.0
030401010306,5080000.0,3480000.0,6640000.0,20240000.0,29720000.0,1080000.0
030300020101,18400000.0,5560000.0,6680000.0,16320000.0,31240000.0,2640000.0
030202010602,21520000.0,8720000.0,7520000.0,14360000.0,18280000.0,22320000.0
030300020106,2080000.0,1160000.0,1120000.0,2720000.0,15040000.0,360000.0
030202010702,21160000.0,4400000.0,7480000.0,13200000.0,10040000.0,1880000.0
030202010504,20280000.0,7800000.0,5840000.0,8880000.0,8760000.0,8160000.0
030202011501,4600000.0,3480000.0,4920000.0,14640000.0,33520000.0,2760000.0
030202010403,42640000.0,5240000.0,3120000.0,4280000.0,2960000.0,4320000.0
030300020408,42880000.0,160000.0,680000.0,2320000.0,30800000.0,120000.0
030300020407,23640000.0,680000.0,1520000.0,6560000.0,52600000.0,320000.0
030101030303,15320000.0,4320000.0,6400000.0,17480000.0,46440000.0,1440000.0
030202010701,17800000.0,2160000.0,2960000.0,5200000.0,6680000.0,880000.0
030201010404,600000.0,0.0,0.0,0.0,5920000.0,0.0
030401011302,25920000.0,2120000.0,3760000.0,11080000.0,45200000.0,600000.0
030202010302,14520000.0,10240000.0,11840000.0,27760000.0,30000000.0,5240000.0
030201010604,680000.0,0.0,0.0,0.0,8320000.0,0.0
030300020107,9400000.0,6760000.0,6680000.0,13640000.0,19880000.0,5480000.0
030300020103,25560000.0,12640000.0,10560000.0,16760000.0,3280000.0,11160000.0
030202010303,14840000.0,14680000.0,15400000.0,26320000.0,34720000.0,15520000.0
030202010304,38960000.0,10400000.0,9480000.0,13320000.0,14400000.0,13400000.0
030401010604,6600000.0,720000.0,1640000.0,5880000.0,24560000.0,120000.0
