Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
188,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
189,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
190,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
191,578,23119999.99999999,4,4,0,4.0,0.0,2312.0,1,4,4,4
192,576,23039999.99999999,3,4,1,3.2378472222222223,0.42576510085186087,1865.0,2,3,4,3
193,577,23079999.99999999,3,4,1,3.318890814558059,0.4660466317318014,1915.0,2,3,4,3
194,575,22999999.99999999,3,4,1,3.16,0.3666060555964666,1817.0,2,3,4,3
195,577,23079999.99999999,3,4,1,3.4055459272097055,0.49099738098418055,1965.0,2,3,4,3
196,577,23079999.99999999,3,4,1,3.7244367417677644,0.446797659958812,2149.0,2,4,3,4
197,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
198,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
199,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
200,578,23119999.99999999,4,4,0,4.0,0.0,2312.0,1,4,4,4
201,576,23039999.99999999,3,4,1,3.7395833333333335,0.43886196735293537,2154.0,2,4,3,4
202,576,23039999.99999999,3,4,1,3.0277777777777777,0.1643355495305454,1744.0,2,3,4,3
203,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
204,575,22999999.99999999,2,3,1,2.8347826086956522,0.3713766348532631,1630.0,2,3,2,3
205,296,11839999.999999994,5,5,0,5.0,0.0,1480.0,1,5,5,5
206,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
207,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
208,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
209,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
210,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
211,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
212,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
213,578,23119999.99999999,3,4,1,3.8131487889273354,0.38979204198308404,2204.0,2,4,3,4
214,576,23039999.99999999,3,4,1,3.9756944444444446,0.15399608931622927,2290.0,2,4,3,4
215,575,22999999.99999999,3,4,1,3.36,0.48000000000000087,1932.0,2,3,4,3
216,577,23079999.99999999,3,4,1,3.367417677642981,0.48210157415053095,1943.0,2,3,4,3
217,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
218,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
219,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
220,576,23039999.99999999,4,5,1,4.010416666666667,0.1015291077584267,2310.0,2,4,5,4
221,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
222,577,23079999.99999999,3,4,1,3.6776429809358753,0.4673788306333699,2122.0,2,4,3,4
223,575,22999999.99999999,3,3,0,3.0,0.0,1725.0,1,3,3,3
224,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
225,576,23039999.99999999,2,3,1,2.826388888888889,0.37877472620262853,1628.0,2,3,2,3
226,125,4999999.999999997,5,5,0,5.0,0.0,625.0,1,5,5,5
227,575,22999999.99999999,5,5,0,5.0,0.0,2875.0,1,5,5,5
228,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
229,578,23119999.99999999,5,5,0,5.0,0.0,2890.0,1,5,5,5
230,576,23039999.99999999,4,5,1,4.611111111111111,0.48749802152178745,2656.0,2,5,4,5
231,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
232,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
233,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
234,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
235,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
236,576,23039999.99999999,3,4,1,3.7083333333333335,0.45452967144315476,2136.0,2,4,3,4
237,577,23079999.99999999,3,4,1,3.3102253032928943,0.4625857374473694,1910.0,2,3,4,3
238,576,23039999.99999999,3,4,1,3.982638888888889,0.13061279773474885,2294.0,2,4,3,4
239,579,23159999.99999999,4,4,0,4.0,0.0,2316.0,1,4,4,4
240,576,23039999.99999999,4,5,1,4.303819444444445,0.45990563121352873,2479.0,2,4,5,4
241,576,23039999.99999999,4,5,1,4.836805555555555,0.36954298497862775,2786.0,2,5,4,5
242,576,23039999.99999999,3,5,2,4.001736111111111,0.1502212713388391,2305.0,3,4,3,4
243,576,23039999.99999999,3,4,1,3.2100694444444446,0.407357672022077,1849.0,2,3,4,3
244,578,23119999.99999999,3,3,0,3.0,0.0,1734.0,1,3,3,3
245,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
246,575,22999999.99999999,2,3,1,2.9356521739130437,0.24537152109574278,1688.0,2,3,2,3
247,322,12879999.999999993,5,5,0,5.0,0.0,1610.0,1,5,5,5
248,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
249,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
250,574,22959999.99999999,5,5,0,5.0,0.0,2870.0,1,5,5,5
