HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area,bounds
030300040104,Gulf Creek-Cape Fear River,Cape Fear,Cape Fear,Upper Cape Fear,57280.38684145803,75697950.9140625,"-79.133,35.497,-78.985,35.615"
030202020202,Headwaters Bear Creek,Neuse-Pamlico,Neuse,Middle Neuse,37279.76511184369,61540175.2109375,"-77.846,35.328,-77.759,35.440"
030202011702,Polecat Branch-Neuse River,Neuse-Pamlico,Neuse,Upper Neuse,77195.07256256863,129284446.1484375,"-78.406,35.347,-78.164,35.514"
030202020101,Headwaters Stoney Creek,Neuse-Pamlico,Neuse,Middle Neuse,32254.00526099207,40815565.4375,"-77.997,35.393,-77.896,35.464"
030401020301,Headwaters Third Creek,Pee Dee,Upper Pee Dee,South Yadkin,50931.96148038101,58928084.8984375,"-81.123,35.785,-80.939,35.907"
030501010901,Upper Little River,Edisto-Santee,Santee,Upper Catawba,58971.880908748804,122048166.0859375,"-81.486,35.798,-81.307,35.947"
030501011004,Glade Creek-Lower Little River,Edisto-Santee,Santee,Upper Catawba,31806.903730515183,45742488.328125,"-81.197,35.827,-81.114,35.921"
030401020603,Beaverdam Branch-South Yadkin River,Pee Dee,Upper Pee Dee,South Yadkin,70702.88495514424,59319148.4453125,"-80.710,35.746,-80.459,35.843"
030201050207,Pamlico Sound-Ocracoke Inlet,Neuse-Pamlico,Pamlico,Pamlico Sound,67959.57602959558,185682011.0078125,"-76.119,34.994,-75.902,35.151"
030401020108,Fifth Creek,Pee Dee,Upper Pee Dee,South Yadkin,49437.242259103085,75537989.8046875,"-80.911,35.805,-80.715,35.874"
030300040501,Neills Creek,Cape Fear,Cape Fear,Upper Cape Fear,63741.6984766908,100802389.265625,"-78.845,35.416,-78.733,35.602"
030401030406,Jackson Creek-Uwharrie River,Pee Dee,Upper Pee Dee,Lower Yadkin,53196.714100649515,103356777.2578125,"-80.079,35.645,-79.945,35.770"
030401030304,Flat Swamp Creek-High Rock Lake,Pee Dee,Upper Pee Dee,Lower Yadkin,62389.47458381899,126157677.203125,"-80.237,35.606,-80.092,35.797"
030202020504,Headwaters Little Swift Creek,Neuse-Pamlico,Neuse,Middle Neuse,53847.48138309032,103148883.3828125,"-77.072,35.195,-76.911,35.322"
030202030704,Wheat Swamp Creek,Neuse-Pamlico,Neuse,Contentnea,50234.300005575264,76645678.3515625,"-77.704,35.338,-77.528,35.418"
030501010504,Lower Wilson Creek,Edisto-Santee,Santee,Upper Catawba,56131.95154043556,74068922.015625,"-81.879,35.882,-81.701,36.017"
030202011701,Bawdy Creek,Neuse-Pamlico,Neuse,Upper Neuse,55390.06195032441,66207099.8046875,"-78.298,35.378,-78.176,35.534"
030202011201,Little Black Creek-Black Creek,Neuse-Pamlico,Neuse,Upper Neuse,42612.28567261345,79326629.5078125,"-78.774,35.516,-78.627,35.601"
030202040804,Jones Bay,Neuse-Pamlico,Neuse,Lower Neuse,37623.93318941471,55848739.9921875,"-76.619,35.177,-76.473,35.259"
030401030103,South Potts Creek-North Potts Creek,Pee Dee,Upper Pee Dee,Lower Yadkin,38602.3430768472,73132210.515625,"-80.418,35.723,-80.311,35.830"
030202011603,Dennis Branch-Little River,Neuse-Pamlico,Neuse,Upper Neuse,39048.353832000015,51522345.3671875,"-78.163,35.433,-78.044,35.508"
030202020603,Halfmoon Creek-Neuse River,Neuse-Pamlico,Neuse,Middle Neuse,62493.18772069213,129363125.1796875,"-77.430,35.269,-77.224,35.403"
030300030207,Lower Brush Creek,Cape Fear,Cape Fear,Deep,55257.159893580894,101061123.0625,"-79.607,35.581,-79.475,35.713"
030201040205,Headwaters South Creek,Neuse-Pamlico,Pamlico,Pamlico,42202.88660740438,104905064.3515625,"-76.859,35.197,-76.724,35.302"
030202020503,Town of Vanceboro-Swift Creek,Neuse-Pamlico,Neuse,Middle Neuse,38954.20265467419,60893562.625,"-77.249,35.276,-77.147,35.378"
030202011604,Buck Swamp-Little River,Neuse-Pamlico,Neuse,Upper Neuse,57344.029102650864,87345137.1484375,"-78.093,35.375,-77.978,35.509"
030401020103,Harve Creek-South Yadkin River,Pee Dee,Upper Pee Dee,South Yadkin,43649.982973364786,64937426.4140625,"-81.086,35.856,-80.911,35.930"
030300030608,Rocky Branch-Deep River,Cape Fear,Cape Fear,Deep,56368.628347719845,58619828.8984375,"-79.201,35.566,-79.053,35.676"
030401011504,Farabee Creek-Yadkin River,Pee Dee,Upper Pee Dee,Upper Yadkin,47664.78466361347,70748870.6875,"-80.554,35.746,-80.409,35.866"
030202020505,Fisher Swamp-Little Swift Creek,Neuse-Pamlico,Neuse,Middle Neuse,50565.77322875161,74288096.9375,"-77.104,35.200,-77.006,35.357"
030300040103,Buckhorn Creek,Cape Fear,Cape Fear,Upper Cape Fear,49352.149488020725,86386559.15625,"-78.999,35.531,-78.835,35.642"
030501010505,Middle Johns River,Edisto-Santee,Santee,Upper Catawba,51809.501590632884,83001768.8671875,"-81.749,35.877,-81.656,36.026"
030202030502,The Slough,Neuse-Pamlico,Neuse,Contentnea,39796.91868411678,61594841.265625,"-78.003,35.435,-77.853,35.504"
030401020109,Jack Creek-South Yadkin River,Pee Dee,Upper Pee Dee,South Yadkin,63792.52446395772,77868205.8125,"-80.940,35.856,-80.707,35.918"
030202020502,Mauls Swamp,Neuse-Pamlico,Neuse,Middle Neuse,31372.527240736443,43481946.4609375,"-77.161,35.293,-77.060,35.371"
030501010701,Upper Lower Creek,Edisto-Santee,Santee,Upper Catawba,55734.165079021666,105191734.078125,"-81.586,35.883,-81.407,35.998"
030202040805,Middle Bay,Neuse-Pamlico,Neuse,Lower Neuse,36199.380885563776,47931049.9765625,"-76.565,35.186,-76.443,35.281"
030202020405,Clayroot Swamp-Swift Creek,Neuse-Pamlico,Neuse,Middle Neuse,34390.37074806435,45086857.8359375,"-77.362,35.333,-77.236,35.414"
030300030509,Rocky River,Cape Fear,Cape Fear,Deep,74624.77254779373,86167752.3203125,"-79.353,35.608,-79.150,35.713"
030201040202,Headwaters Durham Creek,Neuse-Pamlico,Pamlico,Pamlico,57782.411646786815,101019178.1953125,"-76.961,35.159,-76.845,35.342"
