HUC12,VALUE_0,VALUE_5,VALUE_10,VALUE_15,VALUE_20,VALUE_25,VALUE_30,VALUE_35,VALUE_40,VALUE_45,VALUE_50,VALUE_55,VALUE_60,VALUE_65,VALUE_70,VALUE_75,VALUE_80,VALUE_85,VALUE_90,VALUE_95,VALUE_100,MigrationSpace_0_5,MigrationSpace_1,MigrationSpace_1_5,MigrationSpace_2,MigrationSpace_2_5,MigrationSpace_3,MigrationSpace_3_5,MigrationSpace_4,MigrationSpace_4_5,MigrationSpace_5,MigrationSpace_5_5,MigrationSpace_6,MigrationSpace_6_5,MigrationSpace_7,MigrationSpace_7_5,MigrationSpace_8,MigrationSpace_8_5,MigrationSpace_9,MigrationSpace_9_5,MigrationSpace_10,PixelArea30m
031101020805,59453100.0,0.0,3785400.0,0.0,2699100.0,0.0,3050100.0,0.0,3253500.0,0.0,3194100.0,0.0,2588400.0,0.0,2474100.0,0.0,2498400.0,0.0,2467800.0,0.0,2566800.0,0.0,3785400.0,3785400.0,6484500.0,6484500.0,9534600.0,9534600.0,12788100.0,12788100.0,15982200.0,15982200.0,18570600.0,18570600.0,21044700.0,21044700.0,23543100.0,23543100.0,26010900.0,26010900.0,28577700.0,88030800.0
031300110702,5514300.0,0.0,21002400.0,0.0,4040100.0,0.0,4138200.0,0.0,3897900.0,0.0,3533400.0,0.0,4969800.0,0.0,4810500.0,0.0,5748300.0,0.0,3483000.0,0.0,1978200.0,0.0,21002400.0,21002400.0,25042500.0,25042500.0,29180700.0,29180700.0,33078600.0,33078600.0,36612000.0,36612000.0,41581800.0,41581800.0,46392300.0,46392300.0,52140600.0,52140600.0,55623600.0,55623600.0,57601800.0,63116100.0
031101020901,119467800.0,0.0,444600.0,0.0,1260000.0,0.0,1687500.0,0.0,1874700.0,0.0,2156400.0,0.0,2100600.0,0.0,1672200.0,0.0,1120500.0,0.0,912600.0,0.0,1413000.0,0.0,444600.0,444600.0,1704600.0,1704600.0,3392100.0,3392100.0,5266800.0,5266800.0,7423200.0,7423200.0,9523800.0,9523800.0,11196000.0,11196000.0,12316500.0,12316500.0,13229100.0,13229100.0,14642100.0,134109900.0
031101020506,101797200.0,0.0,3376800.0,0.0,2635200.0,0.0,2976300.0,0.0,3713400.0,0.0,4342500.0,0.0,3939300.0,0.0,3870000.0,0.0,3113100.0,0.0,1519200.0,0.0,958500.0,0.0,3376800.0,3376800.0,6012000.0,6012000.0,8988300.0,8988300.0,12701700.0,12701700.0,17044200.0,17044200.0,20983500.0,20983500.0,24853500.0,24853500.0,27966600.0,27966600.0,29485800.0,29485800.0,30444300.0,132241500.0
031300130305,161930700.0,0.0,2709000.0,0.0,1875600.0,0.0,1954800.0,0.0,2187900.0,0.0,3081600.0,0.0,5391900.0,0.0,9486000.0,0.0,10713600.0,0.0,13453200.0,0.0,14466600.0,0.0,2709000.0,2709000.0,4584600.0,4584600.0,6539400.0,6539400.0,8727300.0,8727300.0,11808900.0,11808900.0,17200800.0,17200800.0,26686800.0,26686800.0,37400400.0,37400400.0,50853600.0,50853600.0,65320200.0,227250900.0
031102050604,147701700.0,0.0,413100.0,0.0,269100.0,0.0,125100.0,0.0,108000.0,0.0,82800.0,0.0,45000.0,0.0,44100.0,0.0,46800.0,0.0,42300.0,0.0,49500.0,0.0,413100.0,413100.0,682200.0,682200.0,807300.0,807300.0,915300.0,915300.0,998100.0,998100.0,1043100.0,1043100.0,1087200.0,1087200.0,1134000.0,1134000.0,1176300.0,1176300.0,1225800.0,148927500.0
031401010704,324648000.0,0.0,1539900.0,0.0,1583100.0,0.0,2975400.0,0.0,3821400.0,0.0,4602600.0,0.0,4806000.0,0.0,6402600.0,0.0,6913800.0,0.0,7797600.0,0.0,12582000.0,0.0,1539900.0,1539900.0,3123000.0,3123000.0,6098400.0,6098400.0,9919800.0,9919800.0,14522400.0,14522400.0,19328400.0,19328400.0,25731000.0,25731000.0,32644800.0,32644800.0,40442400.0,40442400.0,53024400.0,377672400.0
031300130402,32947200.0,0.0,2836800.0,0.0,690300.0,0.0,740700.0,0.0,907200.0,0.0,1221300.0,0.0,1786500.0,0.0,2270700.0,0.0,2828700.0,0.0,3048300.0,0.0,3377700.0,0.0,2836800.0,2836800.0,3527100.0,3527100.0,4267800.0,4267800.0,5175000.0,5175000.0,6396300.0,6396300.0,8182800.0,8182800.0,10453500.0,10453500.0,13282200.0,13282200.0,16330500.0,16330500.0,19708200.0,52655400.0
031300130503,250370100.0,0.0,6003000.0,0.0,3923100.0,0.0,3135600.0,0.0,3067200.0,0.0,3327300.0,0.0,3397500.0,0.0,4314600.0,0.0,5899500.0,0.0,5871600.0,0.0,6745500.0,0.0,6003000.0,6003000.0,9926100.0,9926100.0,13061700.0,13061700.0,16128900.0,16128900.0,19456200.0,19456200.0,22853700.0,22853700.0,27168300.0,27168300.0,33067800.0,33067800.0,38939400.0,38939400.0,45684900.0,296055000.0
031300130502,64422000.0,0.0,193500.0,0.0,45900.0,0.0,63900.0,0.0,68400.0,0.0,89100.0,0.0,191700.0,0.0,630000.0,0.0,1603800.0,0.0,3114000.0,0.0,3781800.0,0.0,193500.0,193500.0,239400.0,239400.0,303300.0,303300.0,371700.0,371700.0,460800.0,460800.0,652500.0,652500.0,1282500.0,1282500.0,2886300.0,2886300.0,6000300.0,6000300.0,9782100.0,74204100.0
031101020802,79361100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,20700.0,0.0,35100.0,0.0,55800.0,0.0,79200.0,0.0,168300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,3600.0,24300.0,24300.0,59400.0,59400.0,115200.0,115200.0,194400.0,194400.0,362700.0,79723800.0
031101020803,120873600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120873600.0
031102050603,168402600.0,0.0,612900.0,0.0,552600.0,0.0,504900.0,0.0,559800.0,0.0,536400.0,0.0,512100.0,0.0,451800.0,0.0,451800.0,0.0,395100.0,0.0,384300.0,0.0,612900.0,612900.0,1165500.0,1165500.0,1670400.0,1670400.0,2230200.0,2230200.0,2766600.0,2766600.0,3278700.0,3278700.0,3730500.0,3730500.0,4182300.0,4182300.0,4577400.0,4577400.0,4961700.0,173364300.0
